feature,importance
num__Age,0.10492754356336358
num__Unnamed: 0,0.10334394780958091
num__MonthlyIncome,0.10269747809730609
num__DurationOfPitch,0.08902574373766203
num__Passport,0.08573055631883728
num__NumberOfTrips,0.05116909528190754
num__PitchSatisfactionScore,0.04652294425891588
num__NumberOfFollowups,0.044389849366442656
num__PreferredPropertyStar,0.035992559773221876
num__CityTier,0.031039917074221685
num__NumberOfChildrenVisiting,0.024477856613522378
cat__MaritalStatus_Single,0.022525767792419448
num__NumberOfPersonVisiting,0.021861216386704987
cat__ProductPitched_Basic,0.021400977527589498
cat__Designation_Executive,0.01999131394700532
num__OwnCar,0.016318017254402763
cat__Occupation_Small Business,0.01625143852894425
cat__Gender_Male,0.01572359717431687
cat__Occupation_Large Business,0.015561137249014504
cat__Occupation_Salaried,0.015067197138118908
cat__Gender_Female,0.014910598285024229
cat__MaritalStatus_Married,0.01462342292577973
cat__TypeofContact_Company Invited,0.014550048883599452
cat__TypeofContact_Self Enquiry,0.014361378796665387
cat__MaritalStatus_Unmarried,0.012267409421209399
cat__MaritalStatus_Divorced,0.01025988950085764
cat__ProductPitched_Deluxe,0.007799873689478565
cat__Designation_Manager,0.006438435131880958
cat__ProductPitched_Standard,0.005508990301417607
cat__Designation_Senior Manager,0.005490987452907837
cat__Gender_Fe Male,0.0027123729608152297
cat__Designation_AVP,0.0022218941743318166
cat__ProductPitched_Super Deluxe,0.002114233502914674
cat__Designation_VP,0.0012887552536705277
cat__ProductPitched_King,0.0010885796092395454
cat__Occupation_Free Lancer,0.00034497521670891283
